timestamp,gpu_temp,resolution,percentage,actual_fps,gpu_load,cpu_load
1970-01-01 02:39:04.029,57.281,640,1.0,23.16,90.9,18.2
1970-01-01 02:39:04.537,57.25,640,1.0,23.16,63.8,18.4
1970-01-01 02:39:05.042,57.218,640,1.0,23.47,74.1,19.0
1970-01-01 02:39:05.549,57.375,640,1.0,24.36,48.5,18.2
1970-01-01 02:39:06.053,57.218,640,1.0,24.18,63.8,17.8
1970-01-01 02:39:06.559,57.187,640,1.0,24.66,52.9,19.6
1970-01-01 02:39:07.063,57.5,640,1.0,23.79,96.8,19.9
1970-01-01 02:39:07.569,57.218,640,1.0,23.18,81.3,18.2
1970-01-01 02:39:08.073,57.312,640,1.0,23.74,72.5,17.9
1970-01-01 02:39:08.579,57.218,640,1.0,24.11,68.8,18.4
1970-01-01 02:39:09.083,57.25,640,1.0,24.79,61.5,17.9
1970-01-01 02:39:09.590,57.187,640,1.0,23.23,43.7,19.3
1970-01-01 02:39:10.093,57.468,640,1.0,23.17,97.2,19.4
1970-01-01 02:39:10.599,57.375,640,1.0,23.07,80.9,19.7
1970-01-01 02:39:11.103,57.312,640,1.0,23.77,75.6,18.5
1970-01-01 02:39:11.609,57.25,640,1.0,23.44,71.8,20.0
1970-01-01 02:39:12.113,57.5,640,1.0,23.60,78.8,20.3
1970-01-01 02:39:12.619,57.25,640,1.0,24.59,68.8,19.9
1970-01-01 02:39:13.122,57.5,640,1.0,24.87,89.7,19.0
1970-01-01 02:39:13.629,57.437,640,1.0,24.44,89.7,18.9
1970-01-01 02:39:14.132,57.25,640,1.0,23.16,72.5,19.3
1970-01-01 02:39:14.638,57.187,640,1.0,23.82,87.7,18.9
1970-01-01 02:39:15.143,57.468,640,1.0,24.47,47.8,20.0
1970-01-01 02:39:15.650,57.687,640,1.0,24.22,49.8,19.4
1970-01-01 02:39:16.154,57.437,640,1.0,24.56,82.2,19.7
1970-01-01 02:39:16.660,57.375,640,1.0,23.06,91.8,18.9
1970-01-01 02:39:17.164,57.312,640,1.0,24.44,85.0,19.1
1970-01-01 02:39:17.668,57.687,640,1.0,24.93,79.1,18.5
1970-01-01 02:39:18.171,57.437,640,1.0,23.91,86.6,18.6
1970-01-01 02:39:18.678,57.343,640,1.0,23.58,85.2,19.2
1970-01-01 02:39:19.182,57.25,640,1.0,24.61,60.5,19.0
1970-01-01 02:39:19.688,57.625,640,1.0,23.65,46.4,18.8
1970-01-01 02:39:20.192,57.406,640,1.0,24.44,80.2,19.1
1970-01-01 02:39:20.698,57.718,640,1.0,24.79,80.7,20.9
1970-01-01 02:39:21.202,57.468,640,1.0,24.13,92.1,20.0
1970-01-01 02:39:21.709,57.25,640,1.0,23.87,50.0,18.6
1970-01-01 02:39:22.213,57.187,640,1.0,24.28,61.4,18.2
1970-01-01 02:39:22.720,57.281,640,1.0,24.53,68.5,19.5
1970-01-01 02:39:23.224,57.468,640,1.0,23.48,59.6,18.3
1970-01-01 02:39:23.730,57.625,640,1.0,24.61,90.5,18.0
1970-01-01 02:39:24.234,57.406,640,1.0,24.68,97.5,18.9
1970-01-01 02:39:24.741,57.281,640,1.0,23.33,57.7,18.4
1970-01-01 02:39:25.245,57.312,640,1.0,24.30,49.5,18.7
1970-01-01 02:39:25.751,57.375,640,1.0,24.40,83.3,19.0
1970-01-01 02:39:26.255,57.343,640,1.0,24.88,62.7,18.4
1970-01-01 02:39:26.762,57.625,640,1.0,24.27,88.7,19.0
1970-01-01 02:39:27.266,57.437,640,1.0,23.90,59.4,19.3
1970-01-01 02:39:27.774,57.5,640,1.0,23.75,70.2,19.2
1970-01-01 02:39:28.278,57.437,640,1.0,24.80,61.3,18.0
1970-01-01 02:39:28.784,57.375,640,1.0,24.64,52.1,18.2
1970-01-01 02:39:29.288,57.218,640,1.0,24.87,92.9,17.9
1970-01-01 02:39:29.795,57.468,640,1.0,23.92,78.8,19.1
1970-01-01 02:39:30.299,57.343,640,1.0,23.31,92.1,18.7
1970-01-01 02:39:30.805,57.468,640,1.0,24.56,86.1,18.8
1970-01-01 02:39:31.310,57.375,640,1.0,23.93,47.9,19.6
1970-01-01 02:39:31.817,57.562,640,1.0,24.70,78.3,19.0
1970-01-01 02:39:32.320,57.468,640,1.0,24.32,74.6,18.7
1970-01-01 02:39:32.826,57.406,640,1.0,24.32,93.2,17.5
1970-01-01 02:39:33.331,57.312,640,1.0,24.84,91.7,18.7
1970-01-01 02:39:33.837,57.531,640,1.0,23.91,44.7,17.6
1970-01-01 02:39:34.340,57.343,640,1.0,24.30,59.9,18.5
1970-01-01 02:39:34.847,57.562,640,1.0,24.56,80.8,18.8
1970-01-01 02:39:35.351,57.312,640,1.0,24.78,66.7,18.8
