timestamp,gpu_temperature,resolution,fps,gpu_load,cpu_load
2026-02-04 18:51:32.545,53.156,320,26.74,75.1,15.9
2026-02-04 18:51:33.049,53.0,320,26.00,56.3,15.7
2026-02-04 18:51:33.556,52.968,320,27.49,76.8,16.4
2026-02-04 18:51:34.060,53.375,320,26.37,66.0,15.9
2026-02-04 18:51:34.566,52.937,320,26.65,67.6,16.5
2026-02-04 18:51:35.070,53.0,320,27.64,56.0,15.3
2026-02-04 18:51:35.576,53.156,320,25.90,43.8,16.1
2026-02-04 18:51:36.080,53.0,320,25.65,59.6,17.0
2026-02-04 18:51:36.585,52.875,320,26.24,76.3,17.2
2026-02-04 18:51:37.090,53.218,320,27.26,68.7,15.9
2026-02-04 18:51:37.597,53.031,320,26.55,76.8,16.3
2026-02-04 18:51:38.100,52.843,320,26.37,63.3,16.4
2026-02-04 18:51:38.607,53.031,320,26.19,47.0,15.5
2026-02-04 18:51:39.111,53.0,320,26.88,75.1,14.6
2026-02-04 18:51:39.618,52.906,320,26.39,46.0,15.9
2026-02-04 18:51:40.122,53.281,320,26.11,51.4,16.2
2026-02-04 18:51:40.629,52.843,320,26.78,51.6,15.7
2026-02-04 18:51:41.133,53.187,320,27.61,49.2,16.9
2026-02-04 18:51:41.640,53.0,320,27.39,55.9,15.3
2026-02-04 18:51:42.144,52.937,320,27.72,51.3,18.0
2026-02-04 18:51:42.651,53.062,320,26.12,75.6,17.5
2026-02-04 18:51:43.155,52.937,320,26.87,44.3,16.2
2026-02-04 18:51:43.662,52.812,320,26.67,77.0,15.9
2026-02-04 18:51:44.166,53.125,320,27.26,68.4,16.8
2026-02-04 18:51:44.673,52.937,320,26.56,73.8,15.9
2026-02-04 18:51:45.177,53.156,320,26.27,63.5,15.8
2026-02-04 18:51:45.683,53.062,320,26.85,43.4,16.1
2026-02-04 18:51:46.187,52.937,320,25.94,63.3,15.3
2026-02-04 18:51:46.694,52.875,320,26.75,58.0,16.5
2026-02-04 18:51:47.198,53.156,320,26.92,76.7,16.8
2026-02-04 18:51:47.704,52.906,320,26.43,66.4,15.9
2026-02-04 18:51:48.208,53.187,320,28.00,74.8,16.8
2026-02-04 18:51:48.715,52.968,320,26.20,43.7,17.6
2026-02-04 18:51:49.219,52.937,320,26.98,56.9,16.6
2026-02-04 18:51:49.723,52.906,320,26.06,56.4,16.0
2026-02-04 18:51:50.227,53.218,320,26.58,66.4,16.0
2026-02-04 18:51:50.734,53.031,320,26.94,44.3,15.4
2026-02-04 18:51:51.238,52.968,320,26.37,76.5,16.2
2026-02-04 18:51:51.744,53.0,320,26.77,67.2,16.3
2026-02-04 18:51:52.248,52.843,320,26.10,44.7,15.5
2026-02-04 18:51:52.755,52.906,320,26.17,63.3,16.0
2026-02-04 18:51:53.259,53.093,320,26.13,46.4,16.2
2026-02-04 18:51:53.766,52.781,320,26.46,62.1,15.9
2026-02-04 18:51:54.270,53.125,320,26.24,53.1,16.8
2026-02-04 18:51:54.777,53.062,320,27.37,76.9,17.1
2026-02-04 18:51:55.282,52.968,320,25.95,64.7,16.1
2026-02-04 18:51:55.788,53.031,320,26.17,74.5,16.7
2026-02-04 18:51:56.292,52.843,320,26.36,58.8,16.0
2026-02-04 18:51:56.799,52.843,320,27.94,76.4,15.6
2026-02-04 18:51:57.303,53.062,320,26.52,65.0,15.6
2026-02-04 18:51:57.809,53.343,320,26.60,44.5,16.2
2026-02-04 18:51:58.313,52.875,320,26.30,61.5,16.6
2026-02-04 18:51:58.819,52.968,320,26.76,45.7,16.3
2026-02-04 18:51:59.323,52.937,320,27.01,60.2,16.8
2026-02-04 18:51:59.829,53.343,320,26.95,77.6,17.4
2026-02-04 18:52:00.333,53.125,320,26.97,78.2,17.8
2026-02-04 18:52:00.839,52.937,320,26.75,66.1,18.4
2026-02-04 18:52:01.343,52.906,320,26.67,44.3,17.6
2026-02-04 18:52:01.850,53.0,320,26.69,46.1,17.1
2026-02-04 18:52:02.354,52.843,320,26.45,75.3,17.4
2026-02-04 18:52:02.861,53.343,320,26.31,54.9,15.5
2026-02-04 18:52:03.365,53.125,320,26.35,70.5,16.4
2026-02-04 18:52:03.871,53.281,320,26.06,53.9,16.2
2026-02-04 18:52:04.376,53.031,320,27.00,48.7,15.9
2026-02-04 18:52:04.883,52.906,320,27.02,74.7,16.1
2026-02-04 18:52:05.387,52.843,320,27.04,49.2,16.0
2026-02-04 18:52:05.894,52.937,320,26.88,48.5,15.9
2026-02-04 18:52:06.397,52.843,320,26.97,75.3,16.0
2026-02-04 18:52:06.905,53.125,320,28.11,54.6,18.1
2026-02-04 18:52:07.408,52.968,320,27.18,59.7,16.4
2026-02-04 18:52:07.915,53.125,320,27.49,59.8,16.1
2026-02-04 18:52:08.419,52.75,320,26.66,53.1,15.9
