timestamp,gpu_temperature,resolution,fps,gpu_load,cpu_load
1970-01-01 02:16:18.944,57.843,640,24.50,87.4,19.1
1970-01-01 02:16:19.450,57.937,640,24.33,56.9,19.3
1970-01-01 02:16:19.954,57.687,640,23.34,89.9,21.1
1970-01-01 02:16:20.460,57.718,640,22.89,74.2,19.1
1970-01-01 02:16:20.963,57.906,640,23.31,90.5,18.5
1970-01-01 02:16:21.471,57.937,640,23.07,61.0,18.8
1970-01-01 02:16:21.975,57.906,640,23.44,81.2,18.2
1970-01-01 02:16:22.480,57.812,640,24.18,51.2,18.4
1970-01-01 02:16:22.985,57.75,640,23.10,81.8,19.0
1970-01-01 02:16:23.491,57.75,640,22.96,59.5,19.6
1970-01-01 02:16:23.995,57.687,640,23.41,70.9,20.6
1970-01-01 02:16:24.501,57.968,640,23.20,52.7,19.2
1970-01-01 02:16:25.006,57.875,640,23.95,82.1,18.1
1970-01-01 02:16:25.512,58.0,640,24.30,59.9,17.7
1970-01-01 02:16:26.018,57.781,640,23.88,52.4,18.0
1970-01-01 02:16:26.524,57.75,640,23.76,82.0,18.1
1970-01-01 02:16:27.027,57.718,640,24.13,62.4,16.8
1970-01-01 02:16:27.535,57.718,640,24.47,86.4,18.0
1970-01-01 02:16:28.039,57.687,640,24.37,56.7,17.6
1970-01-01 02:16:28.546,57.968,640,22.94,90.7,17.9
1970-01-01 02:16:29.050,57.906,640,23.28,79.0,18.6
1970-01-01 02:16:29.558,58.0,640,23.69,90.7,19.5
1970-01-01 02:16:30.062,57.937,640,24.64,84.5,18.0
1970-01-01 02:16:30.568,57.875,640,24.33,78.0,18.4
1970-01-01 02:16:31.072,58.343,640,23.76,96.2,17.8
1970-01-01 02:16:31.578,57.843,640,22.50,70.2,17.1
1970-01-01 02:16:32.082,57.937,640,23.69,94.3,18.5
1970-01-01 02:16:32.589,58.0,640,23.15,89.7,19.8
1970-01-01 02:16:33.092,57.875,640,23.50,67.0,18.7
1970-01-01 02:16:33.598,57.843,640,24.19,89.8,19.5
1970-01-01 02:16:34.102,58.187,640,24.49,48.4,18.9
1970-01-01 02:16:34.607,57.937,640,24.13,58.3,19.6
1970-01-01 02:16:35.111,57.906,640,23.77,69.7,18.7
1970-01-01 02:16:35.617,57.968,640,24.15,55.9,18.7
1970-01-01 02:16:36.122,58.156,640,23.24,78.5,18.9
1970-01-01 02:16:36.628,57.875,640,22.97,43.0,17.5
1970-01-01 02:16:37.132,58.156,640,23.37,79.4,17.8
1970-01-01 02:16:37.639,57.968,640,23.03,48.6,17.7
1970-01-01 02:16:38.143,57.906,640,24.30,77.9,17.6
1970-01-01 02:16:38.649,57.906,640,24.07,48.3,18.0
1970-01-01 02:16:39.153,58.156,640,22.64,76.6,19.3
1970-01-01 02:16:39.659,57.906,640,23.74,44.1,19.1
1970-01-01 02:16:40.163,58.125,640,22.87,71.9,17.3
1970-01-01 02:16:40.669,58.0,640,23.46,43.1,18.6
1970-01-01 02:16:41.172,57.906,640,23.98,91.0,17.4
1970-01-01 02:16:41.678,57.906,640,23.84,55.6,17.7
1970-01-01 02:16:42.182,58.25,640,24.50,95.9,19.1
1970-01-01 02:16:42.688,57.781,640,24.62,90.5,18.4
1970-01-01 02:16:43.191,57.906,640,24.10,76.5,19.6
1970-01-01 02:16:43.698,58.0,640,24.24,88.7,19.9
1970-01-01 02:16:44.201,57.875,640,24.27,47.7,20.1
1970-01-01 02:16:44.707,57.781,640,24.12,56.8,19.0
1970-01-01 02:16:45.211,58.187,640,23.86,70.7,18.3
1970-01-01 02:16:45.717,58.031,640,24.33,53.1,18.2
1970-01-01 02:16:46.220,57.906,640,24.16,89.7,17.6
1970-01-01 02:16:46.726,57.843,640,24.06,80.9,18.6
1970-01-01 02:16:47.230,58.187,640,24.21,89.6,18.3
1970-01-01 02:16:47.737,57.781,640,24.24,88.6,18.9
1970-01-01 02:16:48.242,57.843,640,24.50,78.8,18.6
1970-01-01 02:16:48.747,57.937,640,24.07,65.9,19.7
1970-01-01 02:16:49.251,57.906,640,24.26,83.7,19.4
1970-01-01 02:16:49.758,57.843,640,24.22,74.6,18.3
1970-01-01 02:16:50.261,58.156,640,24.14,74.6,20.0
1970-01-01 02:16:50.767,57.937,640,23.94,88.3,18.5
1970-01-01 02:16:51.271,57.781,640,23.39,66.6,18.0
1970-01-01 02:16:51.777,57.843,640,24.06,86.1,18.6
1970-01-01 02:16:52.280,58.031,640,24.22,47.3,19.4
1970-01-01 02:16:52.786,57.781,640,22.22,75.6,18.6
1970-01-01 02:16:53.290,57.843,640,22.91,58.8,17.8
1970-01-01 02:16:53.798,57.812,640,22.63,50.7,21.3
1970-01-01 02:16:54.302,57.781,640,22.86,82.7,20.5
1970-01-01 02:16:54.808,57.906,640,23.73,89.0,18.4
1970-01-01 02:16:55.312,58.125,640,24.28,82.3,18.2
1970-01-01 02:16:55.819,57.812,640,24.02,90.3,18.9
1970-01-01 02:16:56.323,58.0,640,24.34,87.0,18.9
1970-01-01 02:16:56.830,57.937,640,24.21,95.6,18.2
1970-01-01 02:16:57.334,58.0,640,23.18,85.1,19.8
1970-01-01 02:16:57.841,57.906,640,24.27,93.6,21.3
1970-01-01 02:16:58.344,57.75,640,24.55,58.3,22.6
1970-01-01 02:16:58.850,57.75,640,24.21,65.2,21.4
1970-01-01 02:16:59.354,58.0,640,23.48,62.3,20.2
1970-01-01 02:16:59.860,57.781,640,23.32,53.6,19.3
1970-01-01 02:17:00.364,57.875,640,24.43,89.4,18.8
1970-01-01 02:17:00.870,57.937,640,23.77,83.2,19.0
1970-01-01 02:17:01.375,57.875,640,24.10,81.4,18.3
1970-01-01 02:17:01.881,57.718,640,24.35,91.4,19.6
1970-01-01 02:17:02.384,57.968,640,24.27,51.3,19.3
